Date,Casual,Member,Total_rides,WMO code,temp(°C),atemp(°C),windspeed,season,Season,yr,mnth,holiday,weekday,workingday,Weekday,weathersit
2021-08-27,3245,5222,8467,63,27.5,33.4,8.6,3,Summer,2,8,False,4,True,Friday,4
2021-08-28,5928,5818,11746,51,26.6,31.8,12.4,3,Summer,2,8,False,5,False,Saturday,4
2021-08-29,4526,5063,9589,3,25.3,29.4,11.0,3,Summer,2,8,False,6,False,Sunday,1
2021-08-30,2821,5727,8548,61,26.3,31.4,9.6,3,Summer,2,8,False,0,True,Monday,4
2021-08-31,2727,6264,8991,53,25.2,29.9,8.9,3,Summer,2,8,False,1,True,Tuesday,4
2021-09-01,1416,3861,5277,63,23.3,26.5,27.5,3,Summer,2,9,False,2,True,Wednesday,4
2021-09-02,3975,6994,10969,1,21.1,20.1,21.1,3,Summer,2,9,False,3,True,Thursday,1
2021-09-03,4932,6765,11697,3,20.0,19.8,13.1,3,Summer,2,9,False,4,True,Friday,1
2021-09-04,7225,5422,12647,2,21.0,22.2,11.0,3,Summer,2,9,False,5,False,Saturday,1
2021-09-05,5864,4247,10111,61,22.2,24.2,11.2,3,Summer,2,9,False,6,False,Sunday,4
2021-09-06,5935,5338,11273,55,23.9,25.5,16.7,3,Summer,2,9,True,0,False,Monday,4
2021-09-07,3334,6269,9603,1,23.6,24.8,12.6,3,Summer,2,9,False,1,True,Tuesday,1
2021-09-08,3221,6713,9934,51,24.8,26.9,14.7,3,Summer,2,9,False,2,True,Wednesday,4
2021-09-09,3174,6574,9748,61,21.9,23.9,13.0,3,Summer,2,9,False,3,True,Thursday,4
2021-09-10,4517,7150,11667,2,20.1,19.3,18.4,3,Summer,2,9,False,4,True,Friday,1
2021-09-11,6455,6589,13044,3,20.1,20.2,13.3,3,Summer,2,9,False,5,False,Saturday,1
2021-09-12,5408,5859,11267,1,24.0,24.8,15.1,3,Summer,2,9,False,6,False,Sunday,1
2021-09-13,2994,6154,9148,2,26.0,28.8,13.7,3,Summer,2,9,False,0,True,Monday,1
2021-09-14,3145,6732,9877,51,26.2,29.9,11.7,3,Summer,2,9,False,1,True,Tuesday,4
2021-09-15,3254,6914,10168,51,26.7,29.0,16.9,3,Summer,2,9,False,2,True,Wednesday,4
2021-09-16,2061,4371,6432,63,24.1,27.7,9.7,3,Summer,2,9,False,3,True,Thursday,4
2021-09-17,3849,6201,10050,55,23.6,27.3,10.7,3,Summer,2,9,False,4,True,Friday,4
2021-09-18,6077,6509,12586,51,24.3,28.4,5.6,3,Summer,2,9,False,5,False,Saturday,4
2021-09-19,5513,5883,11396,3,23.4,24.9,10.7,3,Summer,2,9,False,6,False,Sunday,1
2021-09-20,3324,6519,9843,2,21.0,21.7,13.1,3,Summer,2,9,False,0,True,Monday,1
2021-09-21,3136,7114,10250,51,22.4,23.7,14.0,4,Autumn,2,9,False,1,True,Tuesday,4
2021-09-22,1498,4634,6132,63,23.0,25.5,23.1,4,Autumn,2,9,False,2,True,Wednesday,4
2021-09-23,2715,5826,8541,63,21.3,22.0,21.1,4,Autumn,2,9,False,3,True,Thursday,4
2021-09-24,4529,7369,11898,3,18.5,17.8,11.0,4,Autumn,2,9,False,4,True,Friday,1
